city,company,title,state,description
[u'West Valley City'],Zions Bancorporation,"IT Customer Support Specialist I - West Valley City, UT",['UT'],"
Proactively involve key , infrastructure teams when necessary. Some technical background across infrastructure ,, e.g. network, voice...."
[u'New York'],Shutterstock,Entry Level Software Development Engineer in Test,['NY'],"
Knowledge of open source ,. Knowledge of Web Architecture or Mobile ,. Be a part of stand alone engineering/product teams, working closely..."
[u'Chevy Chase'],Howard Hughes Medical Institute, Transfer Assistant,['MD'],"
Be willing and able to learn other information , tools. We have an opportunity for a , Transfer Assistant to join our headquarters in Chevy..."
[u'Erie'],Aspen Ridge Preparatory School, Teacher and IT Coordinator,['CO'],"
A) To teach , to students and oversee the IT department. It is the policy of Aspen Ridge Preparatory School not to discriminate against employees or..."
[u'Woodside'],"Unlimited ,, Inc.",Senior IT Engineer,['NY'],"
Unlimited , Inc. Internet and Web ,. Functional Area IT - Information ,. A working knowledge of these ,:...."
[u'Industry'],8 NET Inc.,Social Media Coordinator,['CA'],"
Expert level knowledge of leveraging social media , and working knowledge of E-Commerce sites. Create dynamic content and marketing materials that..."
[u'Clinton'],Anderson County Schools,"Building Level , Assistant",['TN'],"
Responsible to teach and assist students, teachers and other building level staff with the use of , in the schools and to serve as a liaison between..."
[u'New York'],AIG,Network Manager,['NY'],"
he Network Manager is responsible for managing a number of global cross-functional/cross-product related initiatives to drive faster resolution of network"
[u'Washington'],Peace Corps,"Information , Specialist (Network Services)",['DC'],"
Researches and/or analyzes information , (IT) problems, issues, or program requirements relative to promoting products and services to agency mission..."
[u'Washington'],Peace Corps,"Information , Specialist",['DC'],"
This position is located in the International Customer Support Services, division of the Office of the Chief Information Officer. As a member of the"
[u'Eden Prairie'],Eden Prairie Schools,"Professional Development & , Training Specialist",['MN 55344'],"
Prof. Dev. & Tech Training Spec. 06 09 15.pdf POSITION: #5821 Professional Development & Technology Training Specialist LOCATION: Administrative Services..."
[u'Lansing'],State of Michigan,"Information , Technician 7-E9",['MI'],"
Information , Technician 7. Information , Technician E9. Two years of experience equivalent to an Information , Technician, including..."
[u'Lincoln'],Dell,Desktop Support Technical Analyst Lincoln NE,['NE'],"
Our team members follow an open approach to , innovation and believe that , is essential for human success...."
[u'Fountain Valley'],Dell,Desktop Associate Fountain Valley CA,['CA'],"
Our team members follow an open approach to , innovation and believe that , is essential for human success...."
[u'Louisville'],Kindred Healthcare,Hospital IT System Support Specialist- Full-time Days-Louisv...,['KY'],"
Hospital IT System Support Specialist- Full-time Days-Louisville, KY ( Job Number: 234815 ) Description IT'S SIMPLE. You want to work in a healthcare"
[u'Brockport'],The College at Brockport, Support Technician - Part Time,['NY'],"
Experience supporting classroom/presentation ,. 6 months recent experience in supporting ,. Demonstrated commitment to learn and stay updated..."
[u'Murray'],"City of Murray, KY","Information , Assistant (Part-t...",['KY'],"
Information , Assistant (part-time). Information , Manager Class Characteristics:. Perform preventive maintenance on , equipment and..."
[u'Saint Paul'],State of Minnesota,INFO TECH SPEC 2 ,['MN'],"
Hands-on technical writing and editing experience, with specific experience in documenting information , software and systems;..."
[u'Springfield'],COWI - NA,IT Specialist,['NJ'],"
4 year degree in Information , or related field; Demonstrated knowledge of web ,, databases, local area networks, wireless networks,..."
[u'Orlando'],University of Central Florida,End User Computing Specialist,['FL'],"
Bachelor’s degree and one year of information , experience. Responsible for coordinating and maintaining camera systems within the SDES Division;..."
[u'Suwanee'],Gwinnett County Public Schools, Support Tech II - IT Customer Service &,['GA 30024'],"
Assist the local , team in selecting , training courses. D. Assist the local , team in the evaluation of , initiatives..."
[u'Saint Paul'],Patterson Companies,IT Administrative Coordinator,['MN'],"
6+ years of administrative assistant experience in a , environment. Proficient use of , to provide training and support on IT systems and..."
[u'Hazelwood'],Mallinckrodt,"Mgr, IT Infrastructure Service Delivery",['MO'],"
7 - 10 years’ experience in Information ,, focused on IT Infrastructure. Ability to oversee and influence , architecture and operations to..."
[u'New York'],"AKAM Associates, Inc.",IT Systems Manager,['NY 10016'],"
Document all , protocols and procedures. Assist in administrative tasks to set up , for new employees...."
[u'K\u012bhei'],eDesign Group, Systems & Installation Manager/Lead,['HI'],"
Responsible for managing , system installation projects from the sales process through project completion so as to optimize profitability, promote..."
[u'Kansas City'],GFI Digital,"IT SERVER ADMINISTRATOR – KANSAS CITY, MISSOURI",['MO'],"
Bachelor’s degree in Information , or equivalent experience. GFI Digital, Inc...."
[u'Wyckoff'],"TNTMAX, LLC",IT Consultant,['NJ'],"
Our firm is at the forefront of new ,, so the position is a great opportunity for a , junky who can think on their feet and would like to be..."
[u'Commerce City'],South Adams County Water & Sanitation District, Services Specialist,['CO 80022'],"
They will partner with our MSP in relation to upgrades, updates/patches, backups, server and network issues as well operating system issues.Qualified candidates..."
[u'New York'],Conde Nast,"Manager, ",['NY'],"
Manager, , sought by media company in New York, NY. Manage a team of 3 software engineers and oversee the development of web applications;..."
[u'Englewood'],The World Values Network,IT Specialist,['NJ 07631'],"
IT specialist needed for renowned, values-based organization that does television, advertising, programming, and hosts speakers from around the world. We're"
[u'Baltimore'],"Skyline , Solutions",Wireless Network Engineer,['MD'],"
Participate in , and vendor specific training classes. 5+ years of experience in LAN/WAN ,, troubleshooting, and support...."
[u'Mobile'],"The SSI Group, Inc.",Storage Administrator I,['AL'],"
One (1) to three (3) years experience in Information , with hands-on experience in SAN/NAS ,...."
[u'Hartford'],School District of Hartford Jt. #1,Information Systems Technician,['WI 53027'],"
Help with improving students’ skills in ,, writing, etc. Assist teachers with meeting Information and , standards for their students...."
[u'Mountain View'],Google,"Google for Work , Partner Consultant, Apps",['CA'],"
Technical experience in Web , such as HTTP, HTML, XML, DNS, and TCP/IP. As a Google for Work , Partner Consultant, you are responsible for..."
[u'Washington'],Bureau of Labor Statistics,"Information , Specialist (Network/Systems Administr...",['DC'],"
These positions are located in the DOL, Bureau of Labor Statistics (BLS), Office of , and Survey Processing, Directorate of , and Computing..."
[u'Monroe'],State of Michigan,"Information , Infrastructure An...",['MI'],"
This position serves as an analyst performing a wide range of professional assignments in an Information , environment...."
[u'Sacramento'],Los Rios Community College District,"Senior Information , Technician - Lab/Area Microcom...",['CA 95825'],"
Information , Technician:. INFORMATION , TECHNICIAN I & II DUTIES:. Works with Information , Specialists to maintain college and lab..."
[u'Alexandria'],DCS Corporation,"Information , Specialist",['VA'],"
Provide Information , System Administration services to include hardware and software support for UNIX and Windows workstations/servers...."
[u'Lincoln'],Nebraska State Government,"Information , Business Systems Analyst",['NE'],"
Base document imaging system, electronic Driver's Report system, Highway Safety Information system (HSI), Storefront, Electronic Collision Diagramming System,..."
[u'Palm Springs'],tekERP Inc.,Network Technician/Engineer,['CA'],"
Requires a thorough understanding of the IP 72202 document & all Verizon’s practices & procedures. At least 2 – 3 years’ experience being responsible for the"
[u'Amarillo'],Department of Veterans Affairs,"Information , Specialist (Customer Support)",['TX'],"
Information , Specialist (Customer Support); This position is located in the Office of Information and , (OIT)...."
[u'New York'],Conde Nast,"Manager, ",['NY'],"
Manager, , sought by media company in New York, NY. Manage a team of 3 software engineers and oversee the development of web applications;..."
[u'Little Rock'],University of Arkansas at Little Rock,"Digital Systems, Training and Support Coordinator",['AR'],"
Experience monitoring and evaluating emerging ,.,. Assists the Director of , and Digital Initiatives in developing and maintaining the..."
[u'Camp Pendleton'],"IntellecTechs, Inc.",Enterprise Service Desk Junior Level,['CA'],"
, (IT) Services. Conduct operations in support of the Enterprise Service Desk, execute scripts, answer calls,...."
[u'Milton'],Navy Federal Credit Union,IT Coordinator I,['FL 32583'],"
Basic knowledge and understanding of the Information , Infrastructure Library (ITIL) from requirements gathering to implementation...."
[u'Charlotte'],Family Dollar,Merchandising IT Business Services Manager - INF11631,['NC'],"
BA/BS in Business, Information ,, Finance or related field. Knowledgeable in current and possible future policies, practices, trends, technology;..."
[u'Seattle'],Accenture,"SAP MM Lead, Manager,Communications, Media & ,, Sea...",['WA'],"
Professionals analyze, design and/or develop best practice business changes through , solutions. Provide , expertise and leadership direction..."
[u'Suwanee'],"Millennium Mat, LLC",IT Manager,['GA'],"
Identify, recommend, develop, implement and support cost effective , solutions for the business growth...."
[u'St. Louis'],Applied Group,"Network Engineer, Wireless",['MO'],"
Yes, we are , experts! Have a genuine passion for networking ,. But , is simply a tool that must be properly applied...."
[u'New York'],AIG,Network Manager,['NY'],"
he Network Manager is responsible for managing a number of global cross-functional/cross-product related initiatives to drive faster resolution of network"
[u'Denver'],STARTEK,"Info , Technician I",['CO'],"
IT Technician installs, repairs, conducts preventive maintenance, modifies and tests information , related equipment and systems to ensure efficient..."
[u'Jacksonville'],Baptist Health System Inc,"Information , / Systems, Informatics, Systems Analy...",['FL'],"
Project Manager - Physician , (BHS). Baptist Health is growing and we are looking to add experienced team members in the IT/IS and Clinical Informatics..."
[u'Fredericksburg'],"Grand Specialty, Inc",IT Manager,['TX'],"
QUALIFICATIONS Minimium: Experience supporting Microsoft Office environment Working knowledge of PC and Mac hardware and peripherals Basic knowledge of LAN"
[u'Saint Paul'],Department of Veterans Affairs,"INFORMATION , SPECIALIST (INFORMATION SECURITY)",['MN'],"
The employee serves as an Information Security Officer (ISO) in the Field Security Service (FSS), Office of Information and , (OI&T)...."
[u'Duarte'],City of Hope, Licensing Manager,['CA'],"
Evaluates the commercial potential of City of Hope developed ,, identifying companies interested in these , and negotiates the legal and..."
[u'Santa Clara'],Centrify Corporation,Customer Success Manager,['CA'],"
, background and interest is required. 2-3 years of relevant work experience in client-facing roles for , companies...."
[u'New York'],New Music USA, Assistant,['NY'],"
Working closely with and under the direction of the , Manager, you’ll have a key role in designing, building, testing, deploying and documenting..."
[u'Columbus'],"Ohio Gastroenterology Group, Inc.",Information Systems Support Specialist,['OH'],"
Works with all , vendors as liaison. Duties and Responsibilities...."
[u'Nashville'],Vanderbilt University,Network Technician,['TN'],"
Absorbs new , quickly; Shows eagerness to learn new knowledge, ,, tools or systems and displays willingness to go above and beyond...."
[u'Palm Beach Gardens'],Dell,Desk Side Technical Support Analyst Palm Beach Gardens FL,['FL'],"
Our team members follow an open approach to , innovation and believe that , is essential for human success...."
[u'New York'],"Syntel Inc.,",Test Engineer - Entry Level,['NY'],"
Experience with any software ,:. Supporting , projects throughout the planning and delivery cycles...."
[u'Brockport'],The College at Brockport, Support Technician - Part Time,['NY'],"
Experience supporting classroom/presentation ,. 6 months recent experience in supporting ,. Demonstrated commitment to learn and stay updated..."
[u'Anchorage'],Department of Veterans Affairs,"Information , Specialist (Customer Support)",['AK'],"
Information , Specialist (Customer Support) - 55022-A & 55025-A. This position reports directly to the Chief, of Office of Information and ,..."
[u'Fort Bragg'],"National Forensic Science , Center",Computer Forensics Analyst (Term Employment),['NC 28310'],"
POSITION SUMMARY: Responsible to serve as a Computer Forensics Analyst for United States Special Operations Command (USSOCOM) as part of a fast-paced team"
[u'New York'],Guidepoint Global,Junior Desktop Administrator,['NY'],"
Desktop virtualization ,. Research on new ,. This is a Desktop System support role where we are looking for someone with exposure to the..."
[u'Pleasanton'],Techworkers, Specialist,['CA'],"
As a , Specialist, you must represent our department well by being responsible, punctual and motivated to go above and beyond the call of duty...."
[u'Washington'],Department of Veterans Affairs,"Information , Specialist",['DC'],"
ESE provides central engineering services and management of a technical framework promoting one , vision across VA, which supports system optimization,..."
[u'Lees Summit'],Bernard Nickels and Associates, - Service Technician I,['MO'],"
Position Title : Hosting Services Technician I Position Summary:  Proactively monitors all IS networks, systems, applications, and data center"
[u'Chicago'],University of Chicago,Director of Information Systems,['IL'],"
Broad familiarity with numerous information , disciplines required. Previous information , experience in a healthcare setting highly preferred..."
[u'New York'],Bank of America,"Technical Project Consultant – Capital Markets - New York, N...",['NY'],"
Capital markets, ,, Risk, financial engineering background. Strong experience in capital markets OTC derivatives trade life - cycle, including risk..."
[u'Indio'],Verizon,Equipment Installer,['CA 92201'],"
Stay on the front lines of groundbreaking ,. Were committed to a dynamic, ever-evolving infrastructure and the hard work it takes to keep our reliable..."
[u'New York'],Fareportal Inc.,"Multiple , Roles in NYC Office",['NY 10020'],"
Fareportal’s Mission is to “Make travel effortless, affordable, and enjoyable by providing customers with their perfect trip, through the relentless pursuit of..."
[u'New York'],Batali & Bastianich Hospitality Group,IT Support Analyst & Help Desk Technician,['NY'],"
 Hospitality , (Point of Sale, reservation systems). Communicate with users proactively about local maintenance, , issues, and other items..."
