city,company,title,state,description
San Antonio,"OMNITEC Solutions, Inc.","Web Application Developer, Junior",TX,"
                        Web Application Developer  Alternate Job Title: Programmer, Web Solutions  Help support some of the most visible web sites in the world!  Work site location and Zip Code: San Antonio, TX, 78249  Note: this work supports a DoD agency, requiring candidates to have either an active Secret clearance or the ability to immediately obtain an Interim Secret. If you are a US citizen and clearable, this is ...
                    "
,,,,
Eden Prairie,Uptime Legal Systems,Support Engineer / Help Desk,MN,"
                        Support Engineer - Help Desk (Uptime Systems)  Are you an IT professional looking to work for an exciting, nationally recognized, award winning company with a fun work environment?  Who We Are:  Uptime Systems is an established and flourishing cloud hosting provider based in Eden Prairie, Minnesota. Our core business is cloud hosting for law firms. The main services we provide for our clients are:...
                    "
Rome,Global InfoTek Inc,Java Developer/Programmer,NY,"
                        Title: Java Developer/Programmer  Clearance Level: TS/SCI  US Citizenship: Required  Job Classification: Full Time  Start Date: 60 - 90 days  Location: Rome, NY  Education Level: Minimum of a Bachelor's Degree in Computer Science, Computer Engineering, Electrical Engineering or related field (2 years of related experience may be substituted for each year of degree-level education)  We are seeking ...
                    "
New Hyde Park,ProHEALTH,UNIX/Windows System Administrator,NY,"
                        UNIX/Windows System Administrator  ProHEALTH Medical Management, LLC is one of the largest multi-specialty medical practices in the Northeast and we have been serving the health needs of Long Island and the Greater New York Metropolitan area since 1997 with locations throughout the Bronx, Brooklyn, Nassau, and Suffolk has an immediate opening for an experienced IT support professional.  We are loo...
                    "
Weston,Monster Worldwide,Mobile Product Manager,MA,"
                        We’re looking for a mobile machine to help drive the mobile product strategy and execution for Monster. We believe cross device execution is critical, and working together to ensure that we can deliver and build understanding across our user base, on whatever device they are using, is essential to our success. Leveraging both the power of native and mobile web must be part of your game plan.  You ...
                    "
Austin,"Abila, Inc.",Interaction Designer,TX,"
                        Abila's next Interaction Designer will be responsible for understanding users’ needs, motivations, and pain points and align them with the goals of the business to deliver creative and high-impact user experiences that differentiate our products from others in our market. A successful candidates must possess the ability to design an innovative user interface based on user needs, be a highly motiva...
                    "
Austin,"Abila, Inc.",Data Specialist,TX,"
                        Abila serves strategic leaders and managers in dynamic non-profit organizations, associations, and government agencies with comprehensive membership management SaaS and software solutions. Organizations trust Abila to simplify and streamline accounting, donor and grant management, and large scale fundraising processes so they can perform their best work and focus on delivering their unique mission...
                    "
McLean,"Abila, Inc.",Software Engineer (C# .NET Developer),VA,"
                        About Us:  Abila is a well-funded, mid-sized software company that sells to the deeply rewarding non-profit and associations sectors. We have aggressive growth plans for 2015. We’re based in Austin, TX with offices around the country.  What you will do:  Develop client specific business rules, coded in C# language using .NET framework  Add new database objects per client needs, using Microsoft SQL...
                    "
Maitland,"Abila, Inc.",Front End Developer / UX Interaction Designer,FL,"
                        Abila serves strategic leaders and managers in dynamic non-profit organizations, associations, and government agencies with comprehensive membership management SaaS and software solutions. Organizations trust Abila to simplify and streamline accounting, donor and grant management, and large scale fundraising processes so they can perform their best work and focus on delivering their unique mission...
                    "
Maitland,"Abila, Inc.",Technical Support Engineer,FL,"
                        Abila serves strategic leaders and managers in dynamic non-profit organizations, associations, and government agencies with comprehensive membership management SaaS and software solutions. Organizations trust Abila to simplify and streamline accounting, donor and grant management, and large scale fundraising processes so they can perform their best work and focus on delivering their unique mission...
                    "
Franklin,Sytech Inc,Software Developer,MA,"
                        SyTech, Inc.(  www.TheReportCompany.com) is a leading manufacturer of automated reporting and data analysis software for industry. We are a small company, and yet our award-winning software is used by Fortune 500 companies and major international manufacturers throughout the world.  We are looking for a Software Developer with hands-on experience in .NET, SQL and Web programming using tools such a...
                    "
Ann Arbor,Applied Dynamics International,Software Engineer/Embedded Systems,MI,"
                        Applied Dynamics International (ADI), headquartered in Ann Arbor, Michigan, is a leading supplier of simulation software, systems, and technical expertise for development and lab testing of complex control applications. Our engineers work with customers on some of the most cutting-edge technology being developed in the Aerospace and Defense community. Simulation is playing an ever increasing role ...
                    "
Ann Arbor,Applied Dynamics International,Software Development Engineer,MI,"
                        Applied Dynamics International (ADI), headquartered in Ann Arbor, Michigan, is a leading supplier of simulation software, systems, and technical expertise for development and lab testing of complex control applications. Our engineers work with customers on some of the most cutting-edge technology being developed in the Aerospace and Defense community. Simulation is playing an ever increasing role ...
                    "
Cranberry Township,"HighJump Software, Inc.",Software Engineer,PA,"
                        HighJump Software, TrueCommerce EDI Solutions Group provides everything small-to-mid tier companies need to fully implement EDI from one source. Our mission is to make EDI painless by providing a comprehensive, end-to-end EDI solution that is easy to use, robust, and affordable. Customers use our award-winning solution to exchange tens of millions of EDI transactions annually within a variety of i...
                    "
Atlanta,Principle Solutions Group,Security Engineer - DLP,GA,"
                        Security Engineer - DLP  Our client has a new career opportunity as a Data Loss Prevention Security Engineer to work on a team with a large and stable company that highly values its employees.  With this position you will be responsible for protecting highly sensitive information across the enterprise and you will work closely with the compliance team. You will aid the team in revamping the data l...
                    "
Cranberry Township,"HighJump Software, Inc.",Quality Assurance Manager,PA,"
                        The HighJump, TrueCommerce EDI Solutions Group provides everything companies need to fully implement EDI from one source. Our mission is to make EDI painless by providing a comprehensive, end-to-end EDI solution that is easy to use, robust, and affordable. Customers use our award-winning solution to exchange tens of millions of EDI transactions annually within a variety of industries including ret...
                    "
Bronx,Affinity Health Plan,Director- Data Management,NY,"
                        Affinity Health Plan, an independent, growing, not-for-profit managed care company designed specifically to serve the needs of low-income New Yorkers, needs a Director- Data Management. In this highly visible position, you will manage and lead the operation and direction of the Data Management function of the Enterprise Data Warehouse, and the Warehouse itself. Overall responsibilities include dep...
                    "
Little Rock,Consolidated Staffing,SQL DBA,AR,"
                        Job Purpose:  Ensures database performance by planning, developing, managing, and securing databases.  Duties:  * Meets enterprise requirements by planning and developing database structure; developing database utilization policies, procedures, security, backup, and recovery.  * Confirms database requirements by conferring with clients; studying operations and objectives; integrating enterprise re...
                    "
Norwalk,Solomon Page Group,Business Analyst,CT,"
                        Our client in the New Canaan, CT within the financial services industry is looking for a business analyst.  Job Description  Automation of financial reporting  Maintain and improve accounting investor system  Rebuild investor capital system  Ability to work with SQL, VBA, and advanced functions of Microsoft Excel  Create table structure for new systems.  Job Requirements  Bachelors degree in Compu...
                    "
